Zeitstempel,Szenario_A,Szenario_B,Szenario_C
00:00,0.015,0.015,0.010
01:00,0.010,0.010,0.010
02:00,0.005,0.005,0.005
03:00,0.005,0.005,0.005
04:00,0.005,0.005,0.005
05:00,0.008,0.008,0.008
06:00,0.012,0.012,0.012
07:00,0.020,0.035,0.040
08:00,0.030,0.110,0.125
09:00,0.035,0.090,0.105
10:00,0.035,0.075,0.090
11:00,0.035,0.070,0.085
12:00,0.035,0.065,0.085
13:00,0.040,0.060,0.080
14:00,0.045,0.055,0.070
15:00,0.060,0.055,0.070
16:00,0.095,0.065,0.070
17:00,0.145,0.085,0.045
18:00,0.155,0.095,0.035
19:00,0.100,0.075,0.025
20:00,0.050,0.045,0.010
21:00,0.030,0.030,0.005
22:00,0.025,0.025,0.005
23:00,0.020,0.020,0.005
